paradigm,metric,formula_or_source,required_for_computation,when_computable,priority,notes
CV-QNN,class_conditioned_gaussian_fidelity,"F(rho0,rho1) for Gaussian states via Uhlmann formula","(mu_0,Sigma_0) and (mu_1,Sigma_1) averaged per class",inference_pass_with_logging,critical,"Key metric for CV state separation; requires per-class (mu,cov) collection"
CV-QNN,mean_displacement_separation,"||E[mu | class=0] - E[mu | class=1]||_2","per-sample mu vector + class labels",inference_pass_with_logging,critical,"Displacement separation in phase space; directly interpretable; primary figure for publication"
CV-QNN,covariance_matrix_trace,"Tr(Sigma) per sample","Sigma from GaussianBackend",inference_pass_with_logging,medium,"Total quadrature variance; should differ between classes if circuit is discriminative"
CV-QNN,x_quadrature_distribution_separation,"KL(p(X | class=0) || p(X | class=1)) or Bhattacharyya distance","per-class homodyne X-quadrature values mu[::2]",inference_pass_with_logging,critical,"Directly measures how well homodyne X readout separates classes; enables pure readout design"
CV-QNN,p_quadrature_variance,"Sigma[2*i+1, 2*i+1] per mode i","Sigma from GaussianBackend",inference_pass_with_logging,low,"P-quadrature variance; increases with squeezing; relevant for squeezing analysis"
CV-QNN,squeezing_values_post_training,"tanh(squeezing_raw[d,i]) * squeezing_cap for each d,i","squeezing_raw parameter from trained model checkpoint",from_checkpoints_q62a,high,"Post-training squeezing; compare to init (0.037) to see how much squeezing is learned"
CV-QNN,squeezing_cap_utilization_post_training,"max(|bounded_squeezing|) / squeezing_cap","from Q62A checkpoints",from_checkpoints_q62a,high,"Cap utilization at convergence; low utilization suggests cap is not binding"
CV-QNN,homodyne_x_class_margin,"mean(X | class=1) - mean(X | class=0) per mode","per-class X-quadrature means",inference_pass_with_logging,critical,"Main signal for pure homodyne threshold readout; larger = better quantum discrimination"
CV-QNN,dual_homodyne_joint_separation,"2D separation in (X_mode0, X_mode1) space","per-sample (mu[0], mu[2]) + class labels",inference_pass_with_logging,high,"Feasibility analysis for dual-homodyne readout; 2D scatter by class"
CV-QNN,n_modes,config,config,already_computed,info,2
CV-QNN,circuit_depth,config,config,already_computed,info,1
CV-QNN,n_gaussian_layers,depth,config,already_computed,info,1
CV-QNN,n_trainable_quantum_params,"disp_real(2)+disp_imag(2)+squeezing_raw(2)+bs_theta(2)+rot_phi(2)",config,already_computed,info,10
CV-QNN,n_trainable_classical_params,encoder(516) + readout(6),config,already_computed,info,522
CV-QNN,quantum_classical_param_ratio,10/522,config,already_computed,info,0.019
CV-QNN,compression_ratio_cnn_to_cv,128/4,config,already_computed,info,32:1
CV-QNN,gradient_norm_ansatz,"||d_loss/d_ansatz_params||_2 at each epoch","gradient tape during training",training_loop_instrumentation,high,"Checks quantum ansatz receives useful gradient signal"
CV-QNN,gradient_norm_encoder,"||d_loss/d_encoder||_2 at each epoch","gradient tape during training",training_loop_instrumentation,medium,"Checks classical encoder is updated"
CV-QNN,electronic_noise_ablation,"add Gaussian noise N(0, sigma_e^2) to homodyne output; sweep sigma_e","modify inference to add noise at measurement step",ablation_study,medium,"Models real detector noise; tests robustness of quantum readout"
CV-QNN,squeezing_cap_sweep,"vary squeezing_cap in {0.5, 1.0, 1.5, 2.0, 2.5}; re-train","modify GaussianVariationalAnsatz squeezing_cap",ablation_study,medium,"Tests sensitivity of CV circuit to squeezing bound"
CV-QNN,snr_homodyne,"(mu_class1[i] - mu_class0[i])^2 / (Sigma_class1[2i,2i] + Sigma_class0[2i,2i]) per mode","class-conditioned (mu,Sigma)",inference_pass_with_logging,high,"Classical SNR analog for homodyne X-quadrature; key figure for CV advantage claim"
